Original: i\baboon.png
 Number of components       RMSE  Compression ratio
                    1  38.810592           0.291846
                    5  30.525704           0.534357
                   10  27.705357           0.629339
                   25  23.711665           0.774032
                   50  19.387460           0.858771
                  100  13.549704           0.931057
                  200   6.837957           0.981061
                  300   3.165340           0.996844
                  400   1.086785           1.001047
                  500   0.000000           1.001387
