Original: i\lena.png
 Number of components       RMSE  Compression ratio
                    1  35.167560           0.264754
                    5  23.857864           0.423722
                   10  18.273018           0.512687
                   25  11.980805           0.655652
                   50   8.040793           0.774221
                  100   4.706001           0.881519
                  200   2.291929           0.964681
                  300   1.172544           0.994156
                  400   0.445942           1.001285
                  500   0.000000           1.000800
