Original: i\lenna.png
 Number of components       RMSE  Compression ratio
                    1  35.164958           0.637293
                    5  23.854097           0.774847
                   10  18.268759           0.837634
                   20  13.356110           0.906177
                   30  10.912943           0.944965
                   40   9.265415           0.970908
                   50   8.030425           0.989183
                  100   4.692151           1.034657
                  150   3.160788           1.057249
                  200   2.278136           1.073220
                  250   1.651302           1.084990
                  300   1.164504           1.091885
                  350   0.775335           1.095447
                  400   0.441072           1.097252
                  450   0.098660           1.097736
                  500   0.000000           1.097724
