Original: i\peppers.png
 Number of components       RMSE  Compression ratio
                    1  44.210377           0.547079
                    5  28.384257           0.658914
                   10  20.864116           0.720014
                   20  14.318084           0.783153
                   30  11.249565           0.816963
                   40   9.345434           0.877513
                   50   8.053480           0.887861
                  100   5.083373           0.928794
                  150   3.688228           0.956768
                  200   2.751016           0.971289
                  250   2.025968           0.980093
                  300   1.441672           0.984856
                  350   0.965089           0.987386
                  400   0.581602           0.988316
                  450   0.156120           0.987965
                  500   0.000000           0.987800
