Original: i\sphere.png
 Number of components       RMSE  Compression ratio
                    1  26.529228           0.734892
                    5  12.179320           0.845811
                   10   7.682441           0.920918
                   20   4.809335           0.993885
                   30   3.796217           1.041894
                   40   3.270431           1.073082
                   50   2.972766           1.079341
                  100   2.248592           1.232922
                  150   1.780969           1.304218
                  200   1.411715           1.341998
                  250   1.109944           1.362543
                  300   0.859953           1.365149
                  350   0.650827           1.346177
                  400   0.469170           1.300066
                  450   0.305530           1.226128
                  500   0.154299           1.150884
