Original: i\watch.png
 Number of components       RMSE  Compression ratio
                    1  32.264415           0.838801
                    5  23.211026           1.063533
                   10  19.966163           1.214580
                   20  16.372400           1.366111
                   30  14.290605           1.475186
                   40  12.817051           1.577446
                   50  11.598527           1.646076
                  100   7.543704           1.786544
                  150   5.291573           1.821531
                  200   3.911865           1.828127
                  250   2.965802           1.813949
                  300   2.287740           1.790236
                  350   1.782764           1.762662
                  400   1.395015           1.728936
                  450   1.088482           1.686566
                  500   0.842054           1.634339
